"agency","penalties_dollars","penalties_number","year","total","enforcement"
"Environmental Protection Agency",64520699791,20101,2000,18596,285
"Environmental Protection Agency",64520699791,20101,2001,18633,288
"Environmental Protection Agency",64520699791,20101,2002,18740,321
"Environmental Protection Agency",64520699791,20101,2003,18923,319
"Environmental Protection Agency",64520699791,20101,2004,18576,313
"Environmental Protection Agency",64520699791,20101,2005,18398,317
"Environmental Protection Agency",64520699791,20101,2006,18248,311
"Environmental Protection Agency",64520699791,20101,2007,18092,286
"Environmental Protection Agency",64520699791,20101,2008,18247,293
"Environmental Protection Agency",64520699791,20101,2009,18448,309
"Environmental Protection Agency",64520699791,20101,2010,18742,333
"Environmental Protection Agency",64520699791,20101,2011,18777,324
"Environmental Protection Agency",64520699791,20101,2012,18061,341
"Environmental Protection Agency",64520699791,20101,2013,16950,295
"Environmental Protection Agency",64520699791,20101,2014,15852,274
"Environmental Protection Agency",64520699791,20101,2015,15445,265
"Environmental Protection Agency",64520699791,20101,2016,15634,255
"Environmental Protection Agency",64520699791,20101,2017,15058,244
"Environmental Protection Agency",64520699791,20101,2018,14457,236
"Environmental Protection Agency",64520699791,20101,2019,14291,256
"Environmental Protection Agency",64520699791,20101,2020,14915,233
"Environmental Protection Agency",64520699791,20101,2021,14821,236
"Federal Housing Finance Agency",40518500000,21,2009,428,0
"Federal Housing Finance Agency",40518500000,21,2010,453,0
"Federal Housing Finance Agency",40518500000,21,2011,618,20
"Federal Housing Finance Agency",40518500000,21,2012,582,2
"Federal Housing Finance Agency",40518500000,21,2013,609,2
"Federal Housing Finance Agency",40518500000,21,2014,591,0
"Federal Housing Finance Agency",40518500000,21,2015,557,2
"Federal Housing Finance Agency",40518500000,21,2016,592,2
"Federal Housing Finance Agency",40518500000,21,2017,603,2
"Federal Housing Finance Agency",40518500000,21,2018,599,2
"Federal Housing Finance Agency",40518500000,21,2019,617,2
"Federal Housing Finance Agency",40518500000,21,2020,641,2
"Federal Housing Finance Agency",40518500000,21,2021,700,1
"Securities and Exchange Commission",37040649310,2642,2000,2952,46
"Securities and Exchange Commission",37040649310,2642,2001,3049,42
"Securities and Exchange Commission",37040649310,2642,2002,3027,36
"Securities and Exchange Commission",37040649310,2642,2003,3256,35
"Securities and Exchange Commission",37040649310,2642,2004,3797,35
"Securities and Exchange Commission",37040649310,2642,2005,3907,36
"Securities and Exchange Commission",37040649310,2642,2006,3598,35
"Securities and Exchange Commission",37040649310,2642,2007,3498,32
"Securities and Exchange Commission",37040649310,2642,2008,3631,29
"Securities and Exchange Commission",37040649310,2642,2009,3728,33
"Securities and Exchange Commission",37040649310,2642,2010,3917,33
"Securities and Exchange Commission",37040649310,2642,2011,3846,35
"Securities and Exchange Commission",37040649310,2642,2012,3907,33
"Securities and Exchange Commission",37040649310,2642,2013,4135,33
"Securities and Exchange Commission",37040649310,2642,2014,4207,43
"Securities and Exchange Commission",37040649310,2642,2015,4413,45
"Securities and Exchange Commission",37040649310,2642,2016,4665,46
"Securities and Exchange Commission",37040649310,2642,2017,4591,41
"Securities and Exchange Commission",37040649310,2642,2018,4445,41
"Securities and Exchange Commission",37040649310,2642,2019,4346,40
"Securities and Exchange Commission",37040649310,2642,2020,4479,40
"Securities and Exchange Commission",37040649310,2642,2021,4529,35
"Food and Drug Administration",19512069130,59,2000,11367,294
"Food and Drug Administration",19512069130,59,2001,11425,294
"Food and Drug Administration",19512069130,59,2002,11532,289
"Food and Drug Administration",19512069130,59,2003,11764,282
"Food and Drug Administration",19512069130,59,2004,11476,273
"Food and Drug Administration",19512069130,59,2005,11521,264
"Food and Drug Administration",19512069130,59,2006,11315,252
"Food and Drug Administration",19512069130,59,2007,11272,263
"Food and Drug Administration",19512069130,59,2008,12096,259
"Food and Drug Administration",19512069130,59,2009,13524,267
"Food and Drug Administration",19512069130,59,2010,14824,266
"Food and Drug Administration",19512069130,59,2011,15232,274
"Food and Drug Administration",19512069130,59,2012,15610,268
"Food and Drug Administration",19512069130,59,2013,16307,287
"Food and Drug Administration",19512069130,59,2014,16914,297
"Food and Drug Administration",19512069130,59,2015,17883,306
"Food and Drug Administration",19512069130,59,2016,18529,288
"Food and Drug Administration",19512069130,59,2017,18593,310
"Food and Drug Administration",19512069130,59,2018,18405,319
"Food and Drug Administration",19512069130,59,2019,18232,313
"Food and Drug Administration",19512069130,59,2020,19082,310
"Food and Drug Administration",19512069130,59,2021,19653,312
"Commodity Futures Trading Commission",16073110822,752,2000,570,101
"Commodity Futures Trading Commission",16073110822,752,2001,542,99
"Commodity Futures Trading Commission",16073110822,752,2002,522,86
"Commodity Futures Trading Commission",16073110822,752,2003,533,81
"Commodity Futures Trading Commission",16073110822,752,2004,501,84
"Commodity Futures Trading Commission",16073110822,752,2005,511,85
"Commodity Futures Trading Commission",16073110822,752,2006,465,81
"Commodity Futures Trading Commission",16073110822,752,2007,440,74
"Commodity Futures Trading Commission",16073110822,752,2008,486,66
"Commodity Futures Trading Commission",16073110822,752,2009,571,75
"Commodity Futures Trading Commission",16073110822,752,2010,699,79
"Commodity Futures Trading Commission",16073110822,752,2011,665,76
"Commodity Futures Trading Commission",16073110822,752,2012,707,66
"Commodity Futures Trading Commission",16073110822,752,2013,685,49
"Commodity Futures Trading Commission",16073110822,752,2014,656,46
"Commodity Futures Trading Commission",16073110822,752,2015,764,49
"Commodity Futures Trading Commission",16073110822,752,2016,726,45
"Commodity Futures Trading Commission",16073110822,752,2017,705,45
"Commodity Futures Trading Commission",16073110822,752,2018,687,40
"Commodity Futures Trading Commission",16073110822,752,2019,691,39
"Commodity Futures Trading Commission",16073110822,752,2020,693,39
"Commodity Futures Trading Commission",16073110822,752,2021,682,37
"Federal Trade Commission",15400468172,555,2000,1022,71
"Federal Trade Commission",15400468172,555,2001,1073,71
"Federal Trade Commission",15400468172,555,2002,1109,69
"Federal Trade Commission",15400468172,555,2003,1089,68
"Federal Trade Commission",15400468172,555,2004,1073,75
"Federal Trade Commission",15400468172,555,2005,1017,68
"Federal Trade Commission",15400468172,555,2006,1068,65
"Federal Trade Commission",15400468172,555,2007,1095,66
"Federal Trade Commission",15400468172,555,2008,1122,64
"Federal Trade Commission",15400468172,555,2009,1120,57
"Federal Trade Commission",15400468172,555,2010,1189,54
"Federal Trade Commission",15400468172,555,2011,1135,51
"Federal Trade Commission",15400468172,555,2012,1177,51
"Federal Trade Commission",15400468172,555,2013,1166,51
"Federal Trade Commission",15400468172,555,2014,1161,51
"Federal Trade Commission",15400468172,555,2015,1188,48
"Federal Trade Commission",15400468172,555,2016,1164,48
"Federal Trade Commission",15400468172,555,2017,1137,45
"Federal Trade Commission",15400468172,555,2018,1115,41
"Federal Trade Commission",15400468172,555,2019,1133,45
"Federal Trade Commission",15400468172,555,2020,1164,41
"Federal Trade Commission",15400468172,555,2021,1109,38
"Bureau of Consumer Financial Protection",14369834693,232,2011,647,0
"Bureau of Consumer Financial Protection",14369834693,232,2012,967,0
"Bureau of Consumer Financial Protection",14369834693,232,2013,1313,5
"Bureau of Consumer Financial Protection",14369834693,232,2014,1407,7
"Bureau of Consumer Financial Protection",14369834693,232,2015,1507,7
"Bureau of Consumer Financial Protection",14369834693,232,2016,1614,7
"Bureau of Consumer Financial Protection",14369834693,232,2017,1657,7
"Bureau of Consumer Financial Protection",14369834693,232,2018,1501,8
"Bureau of Consumer Financial Protection",14369834693,232,2019,1419,7
"Bureau of Consumer Financial Protection",14369834693,232,2020,1492,8
"Bureau of Consumer Financial Protection",14369834693,232,2021,1581,10
"Office of the Comptroller of the Currency",14137678233,205,2000,2827,0
"Office of the Comptroller of the Currency",14137678233,205,2001,2858,0
"Office of the Comptroller of the Currency",14137678233,205,2002,2802,0
"Office of the Comptroller of the Currency",14137678233,205,2003,2780,0
"Office of the Comptroller of the Currency",14137678233,205,2004,2717,0
"Office of the Comptroller of the Currency",14137678233,205,2005,2779,0
"Office of the Comptroller of the Currency",14137678233,205,2006,2951,0
"Office of the Comptroller of the Currency",14137678233,205,2007,3044,0
"Office of the Comptroller of the Currency",14137678233,205,2008,3106,0
"Office of the Comptroller of the Currency",14137678233,205,2009,3183,0
"Office of the Comptroller of the Currency",14137678233,205,2010,3142,0
"Office of the Comptroller of the Currency",14137678233,205,2011,3726,0
"Office of the Comptroller of the Currency",14137678233,205,2012,3808,0
"Office of the Comptroller of the Currency",14137678233,205,2013,3950,0
"Office of the Comptroller of the Currency",14137678233,205,2014,3867,0
"Office of the Comptroller of the Currency",14137678233,205,2015,3835,0
"Office of the Comptroller of the Currency",14137678233,205,2016,3967,0
"Office of the Comptroller of the Currency",14137678233,205,2017,3939,0
"Office of the Comptroller of the Currency",14137678233,205,2018,3833,0
"Office of the Comptroller of the Currency",14137678233,205,2019,3627,0
"Office of the Comptroller of the Currency",14137678233,205,2020,3538,0
"Office of the Comptroller of the Currency",14137678233,205,2021,3548,0
"Federal Reserve",6893775548,171,NA,NA,NA
"Internal Revenue Service",5900800000,7,2000,97464,3311
"Internal Revenue Service",5900800000,7,2001,100577,3757
"Internal Revenue Service",5900800000,7,2002,98222,3923
"Internal Revenue Service",5900800000,7,2003,94875,3788
"Internal Revenue Service",5900800000,7,2004,95620,3892
"Internal Revenue Service",5900800000,7,2005,92609,3891
"Internal Revenue Service",5900800000,7,2006,91340,3864
"Internal Revenue Service",5900800000,7,2007,87417,3711
"Internal Revenue Service",5900800000,7,2008,90311,3614
"Internal Revenue Service",5900800000,7,2009,93432,3766
"Internal Revenue Service",5900800000,7,2010,94428,3564
"Internal Revenue Service",5900800000,7,2011,91435,3475
"Internal Revenue Service",5900800000,7,2012,89956,3366
"Internal Revenue Service",5900800000,7,2013,83666,3240
"Internal Revenue Service",5900800000,7,2014,78185,3126
"Internal Revenue Service",5900800000,7,2015,76588,2880
"Internal Revenue Service",5900800000,7,2016,77116,2717
"Internal Revenue Service",5900800000,7,2017,72946,2640
"Internal Revenue Service",5900800000,7,2018,74533,2458
"Internal Revenue Service",5900800000,7,2019,74412,2405
"Internal Revenue Service",5900800000,7,2020,80269,2478
"Internal Revenue Service",5900800000,7,2021,80442,2489
"Federal Communications Commission",4020723431,517,2000,1956,21
"Federal Communications Commission",4020723431,517,2001,1997,18
"Federal Communications Commission",4020723431,517,2002,2052,16
"Federal Communications Commission",4020723431,517,2003,2045,15
"Federal Communications Commission",4020723431,517,2004,1952,14
"Federal Communications Commission",4020723431,517,2005,1854,14
"Federal Communications Commission",4020723431,517,2006,1847,12
"Federal Communications Commission",4020723431,517,2007,1804,10
"Federal Communications Commission",4020723431,517,2008,1822,10
"Federal Communications Commission",4020723431,517,2009,1872,9
"Federal Communications Commission",4020723431,517,2010,1832,8
"Federal Communications Commission",4020723431,517,2011,1784,6
"Federal Communications Commission",4020723431,517,2012,1755,6
"Federal Communications Commission",4020723431,517,2013,1752,8
"Federal Communications Commission",4020723431,517,2014,1728,8
"Federal Communications Commission",4020723431,517,2015,1688,7
"Federal Communications Commission",4020723431,517,2016,1606,9
"Federal Communications Commission",4020723431,517,2017,1490,9
"Federal Communications Commission",4020723431,517,2018,1449,8
"Federal Communications Commission",4020723431,517,2019,1449,6
"Federal Communications Commission",4020723431,517,2020,1486,5
"Federal Communications Commission",4020723431,517,2021,1437,7
"National Highway Traffic Safety Administration",3781559823,171,2000,635,9
"National Highway Traffic Safety Administration",3781559823,171,2001,656,11
"National Highway Traffic Safety Administration",3781559823,171,2002,688,11
"National Highway Traffic Safety Administration",3781559823,171,2003,656,11
"National Highway Traffic Safety Administration",3781559823,171,2004,608,9
"National Highway Traffic Safety Administration",3781559823,171,2005,605,11
"National Highway Traffic Safety Administration",3781559823,171,2006,619,9
"National Highway Traffic Safety Administration",3781559823,171,2007,625,10
"National Highway Traffic Safety Administration",3781559823,171,2008,609,9
"National Highway Traffic Safety Administration",3781559823,171,2009,625,13
"National Highway Traffic Safety Administration",3781559823,171,2010,609,16
"National Highway Traffic Safety Administration",3781559823,171,2011,599,11
"National Highway Traffic Safety Administration",3781559823,171,2012,594,11
"National Highway Traffic Safety Administration",3781559823,171,2013,597,12
"National Highway Traffic Safety Administration",3781559823,171,2014,583,12
"National Highway Traffic Safety Administration",3781559823,171,2015,558,11
"National Highway Traffic Safety Administration",3781559823,171,2016,542,12
"National Highway Traffic Safety Administration",3781559823,171,2017,549,15
"National Highway Traffic Safety Administration",3781559823,171,2018,569,22
"National Highway Traffic Safety Administration",3781559823,171,2019,581,22
"National Highway Traffic Safety Administration",3781559823,171,2020,616,21
"National Highway Traffic Safety Administration",3781559823,171,2021,600,21
"Wage and Hour Division",3733105415,81180,2011,1780,1531
"Wage and Hour Division",3733105415,81180,2012,1888,1566
"Wage and Hour Division",3733105415,81180,2013,1823,1516
"Wage and Hour Division",3733105415,81180,2014,1772,1474
"Wage and Hour Division",3733105415,81180,2015,1796,1516
"Wage and Hour Division",3733105415,81180,2016,1745,1469
"Wage and Hour Division",3733105415,81180,2017,1692,1425
"Wage and Hour Division",3733105415,81180,2018,1576,1324
"Wage and Hour Division",3733105415,81180,2019,1477,1217
"Wage and Hour Division",3733105415,81180,2020,1507,1283
"Wage and Hour Division",3733105415,81180,2021,1531,1299
"Occupational Safety and Health Administration",3096790777,209605,2000,2178,170
"Occupational Safety and Health Administration",3096790777,209605,2001,2224,167
"Occupational Safety and Health Administration",3096790777,209605,2002,2257,174
"Occupational Safety and Health Administration",3096790777,209605,2003,2276,176
"Occupational Safety and Health Administration",3096790777,209605,2004,2198,166
"Occupational Safety and Health Administration",3096790777,209605,2005,2130,161
"Occupational Safety and Health Administration",3096790777,209605,2006,2063,156
"Occupational Safety and Health Administration",3096790777,209605,2007,2076,162
"Occupational Safety and Health Administration",3096790777,209605,2008,2087,160
"Occupational Safety and Health Administration",3096790777,209605,2009,2126,161
"Occupational Safety and Health Administration",3096790777,209605,2010,2291,183
"Occupational Safety and Health Administration",3096790777,209605,2011,2272,184
"Occupational Safety and Health Administration",3096790777,209605,2012,2271,204
"Occupational Safety and Health Administration",3096790777,209605,2013,2231,200
"Occupational Safety and Health Administration",3096790777,209605,2014,2161,196
"Occupational Safety and Health Administration",3096790777,209605,2015,2101,194
"Occupational Safety and Health Administration",3096790777,209605,2016,2058,181
"Occupational Safety and Health Administration",3096790777,209605,2017,1962,168
"Occupational Safety and Health Administration",3096790777,209605,2018,1864,157
"Occupational Safety and Health Administration",3096790777,209605,2019,1853,147
"Occupational Safety and Health Administration",3096790777,209605,2020,1866,137
"Occupational Safety and Health Administration",3096790777,209605,2021,1840,145
"Bureau of Industry and Security",2578184761,615,2002,389,142
"Bureau of Industry and Security",2578184761,615,2003,371,142
"Bureau of Industry and Security",2578184761,615,2004,365,149
"Bureau of Industry and Security",2578184761,615,2005,357,141
"Bureau of Industry and Security",2578184761,615,2006,370,142
"Bureau of Industry and Security",2578184761,615,2007,371,140
"Bureau of Industry and Security",2578184761,615,2008,351,128
"Bureau of Industry and Security",2578184761,615,2009,324,122
"Bureau of Industry and Security",2578184761,615,2010,337,124
"Bureau of Industry and Security",2578184761,615,2011,362,133
"Bureau of Industry and Security",2578184761,615,2012,384,142
"Bureau of Industry and Security",2578184761,615,2013,376,146
"Bureau of Industry and Security",2578184761,615,2014,360,142
"Bureau of Industry and Security",2578184761,615,2015,363,140
"Bureau of Industry and Security",2578184761,615,2016,375,158
"Bureau of Industry and Security",2578184761,615,2017,376,160
"Bureau of Industry and Security",2578184761,615,2018,358,152
"Bureau of Industry and Security",2578184761,615,2019,353,160
"Bureau of Industry and Security",2578184761,615,2020,357,159
"Bureau of Industry and Security",2578184761,615,2021,386,164
"Federal Energy Regulatory Commission",2173518376,164,2011,1488,6
"Federal Energy Regulatory Commission",2173518376,164,2012,1471,7
"Federal Energy Regulatory Commission",2173518376,164,2013,1453,5
"Federal Energy Regulatory Commission",2173518376,164,2014,1457,4
"Federal Energy Regulatory Commission",2173518376,164,2015,1479,4
"Federal Energy Regulatory Commission",2173518376,164,2016,1477,4
"Federal Energy Regulatory Commission",2173518376,164,2017,1446,3
"Federal Energy Regulatory Commission",2173518376,164,2018,1433,3
"Federal Energy Regulatory Commission",2173518376,164,2019,1456,2
"Federal Energy Regulatory Commission",2173518376,164,2020,1461,3
"Federal Energy Regulatory Commission",2173518376,164,2021,1460,3
"Office of Foreign Assets Control",2013565397,540,NA,NA,NA
"National Labor Relations Board",1668769430,13835,2000,2035,2
"National Labor Relations Board",1668769430,13835,2001,2098,1
"National Labor Relations Board",1668769430,13835,2002,2257,2
"National Labor Relations Board",1668769430,13835,2003,1926,2
"National Labor Relations Board",1668769430,13835,2004,1898,1
"National Labor Relations Board",1668769430,13835,2005,1870,2
"National Labor Relations Board",1668769430,13835,2006,1836,1
"National Labor Relations Board",1668769430,13835,2007,1714,1
"National Labor Relations Board",1668769430,13835,2008,1643,0
"National Labor Relations Board",1668769430,13835,2009,1649,1
"National Labor Relations Board",1668769430,13835,2010,1714,1
"National Labor Relations Board",1668769430,13835,2011,1733,1
"National Labor Relations Board",1668769430,13835,2012,1682,1
"National Labor Relations Board",1668769430,13835,2013,1588,1
"National Labor Relations Board",1668769430,13835,2014,1588,1
"National Labor Relations Board",1668769430,13835,2015,1593,1
"National Labor Relations Board",1668769430,13835,2016,1545,1
"National Labor Relations Board",1668769430,13835,2017,1469,1
"National Labor Relations Board",1668769430,13835,2018,1323,1
"National Labor Relations Board",1668769430,13835,2019,1274,1
"National Labor Relations Board",1668769430,13835,2020,1249,19
"National Labor Relations Board",1668769430,13835,2021,1214,14
"Equal Employment Opportunity Commission",1653806777,2374,2000,2779,1187
